"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
4.158218400E-2,-9.832024574E-3,-1.252338290E-2,3.650598526E-1
5.165298500E-2,4.486131668E-2,-3.229430318E-2,4.492740631E-1
6.178482100E-2,1.002908647E-1,-1.101562381E-2,4.036130905E-1
7.191665700E-2,8.495977521E-2,3.428742290E-2,2.068338394E-1
8.204849300E-2,3.140884638E-2,9.707584977E-2,-2.164745331E-2
9.218032900E-2,-3.061553836E-2,1.598744988E-1,-1.085586548E-1
1.023426820E-1,-5.723333359E-2,1.721928418E-1,-4.161167145E-2
1.125050360E-1,-3.117135167E-2,1.645187438E-1,7.897853851E-2
1.226673890E-1,2.198359370E-2,1.056419611E-1,1.498222351E-1
1.328297430E-1,7.039827108E-2,3.715181351E-2,1.350622177E-1
1.429615790E-1,7.745975256E-2,-3.503584862E-2,9.646129608E-2
1.531239320E-1,7.192054391E-2,-8.708497882E-2,7.767391205E-2
1.632862860E-1,3.397122025E-2,-1.146843135E-1,9.704113007E-2
1.734486390E-1,1.796516776E-2,-1.085157990E-1,8.342552185E-2
1.836109930E-1,1.303398609E-2,-9.272214770E-2,6.686210632E-2
1.937733460E-1,1.518681645E-2,-5.331176519E-2,6.062984467E-2
2.039662170E-1,2.354133129E-2,-2.519476414E-2,9.835910797E-2
2.141285710E-1,3.080934286E-2,-7.833719254E-3,1.068077087E-1
2.242909240E-1,1.696866751E-2,4.068493843E-3,1.035737991E-1
2.344532780E-1,8.353382349E-3,-3.387123346E-3,1.009283066E-1
2.446156310E-1,9.606301785E-3,-2.476298809E-2,7.754325867E-2
2.547779850E-1,4.363691807E-2,-8.679240942E-3,-1.561641693E-2
2.649403380E-1,4.983258247E-2,-2.950727940E-4,1.010837555E-1
2.751026920E-1,1.545271277E-2,1.425218582E-2,1.102752686E-1
2.852650450E-1,2.482950687E-3,7.678687572E-3,-4.053783417E-2
2.954273990E-1,1.134964824E-2,1.883766055E-2,-7.586669922E-2
3.055897520E-1,4.724723101E-2,2.539363503E-2,5.836486816E-3
3.157521060E-1,5.437806249E-2,4.092738032E-2,2.644157410E-2
3.259144590E-1,2.491769195E-2,3.401950002E-2,2.321910858E-2
3.360768130E-1,-1.751986146E-2,4.078897834E-2,1.074886322E-2
3.462391660E-1,-2.608028054E-2,3.579184413E-2,5.717277527E-3
3.564015200E-1,-3.002986312E-2,4.507812858E-2,1.726913452E-2
3.665638730E-1,2.962201834E-3,7.066774368E-2,6.355381012E-2
3.767262270E-1,2.272942662E-2,7.219234109E-2,1.083974838E-1
3.868885800E-1,3.225961328E-2,5.461165309E-2,1.052246094E-1
3.970509340E-1,3.003400564E-2,3.972369432E-2,8.583831787E-2
4.072132880E-1,1.858338714E-2,2.044460177E-2,6.010532379E-2
4.173756410E-1,1.475778222E-2,8.544445038E-3,7.501697540E-2
4.275379950E-1,8.896112442E-3,3.522694111E-3,8.011817932E-2
4.377003480E-1,-3.339797258E-3,-8.714705706E-3,4.990100861E-2
4.478627020E-1,-1.723536849E-2,-1.379236579E-2,1.341629028E-2
4.580555730E-1,-1.202866435E-2,-2.303019166E-2,3.771781921E-3
4.682179260E-1,-7.187724113E-3,-3.897824883E-2,3.898906708E-2
4.783802800E-1,-2.769529819E-4,-3.125604987E-2,7.584476471E-2
4.885426330E-1,-4.464983940E-4,-2.429226041E-2,8.825969696E-2
4.987049870E-1,-7.568895817E-3,-1.545578241E-2,5.567073822E-2
5.088673400E-1,-2.942681313E-3,-9.354859591E-3,3.094673157E-2
5.190296940E-1,3.758996725E-3,-1.011067629E-2,1.618480682E-2
5.291920470E-1,1.255738735E-2,-8.248448372E-3,-2.902603149E-2
5.393544010E-1,7.231086493E-3,-1.790404320E-2,-6.616401672E-2
5.495167540E-1,-4.827171564E-3,-2.704891562E-2,-9.079170227E-2
5.596791080E-1,-9.008646011E-3,-1.895231009E-2,-2.998352051E-2
5.698414610E-1,-1.137137413E-3,-2.284142375E-2,6.739139557E-2
5.800038150E-1,9.026408195E-3,-6.240755320E-3,1.346101761E-1
5.901661680E-1,1.926925778E-2,1.601943374E-2,8.963489532E-2
6.003285220E-1,-7.609128952E-4,4.201328754E-2,-8.662223816E-3
6.104908750E-1,-1.135665178E-2,6.328594685E-2,3.491401672E-3
6.206532290E-1,-2.290147543E-2,8.688840270E-2,7.676410675E-2
6.308155820E-1,-3.683823347E-2,8.172065020E-2,8.253002167E-2
6.409779360E-1,-5.914476514E-2,7.670339942E-2,-1.153163910E-1
6.511402890E-1,-2.015125751E-2,6.440138817E-2,-3.045015335E-1
6.613026430E-1,8.430999517E-2,2.406519651E-2,1.413631439E-1
6.714649960E-1,1.354219317E-1,-1.068037748E-2,5.965394974E-1
6.816273500E-1,1.823829114E-1,-1.215434074E-2,2.460269928E-1
6.917897040E-1,5.684620142E-2,-4.138559103E-3,-8.857536316E-2
7.019520570E-1,-6.712535024E-2,3.207802773E-3,-3.089828491E-1
7.121144110E-1,-1.114446223E-1,-1.921892166E-3,-1.854314804E-1
7.223072820E-1,-7.035279274E-2,-3.761920333E-2,6.798839569E-2
7.324391180E-1,2.016109228E-2,-7.904624939E-2,2.511148453E-1
7.426014710E-1,7.073971629E-2,-6.288036704E-2,2.683324814E-1
7.527638250E-1,5.720394850E-2,-1.758375764E-2,1.082544327E-1
7.629261780E-1,-7.873892784E-3,6.941163540E-2,-1.104278564E-1
7.731190490E-1,-6.979230046E-2,1.371407807E-1,-1.789989471E-1
7.832814030E-1,-7.244965434E-2,1.750698686E-1,-7.183837891E-2
7.934437560E-1,-3.212496638E-2,1.773990393E-1,8.516311646E-2
8.036061100E-1,9.162276983E-3,1.281303763E-1,1.448669434E-1
8.137684630E-1,4.066053033E-2,4.540878534E-2,1.209135056E-1
8.239308170E-1,5.332404375E-2,-2.084574103E-2,7.868576050E-2
8.340931700E-1,1.443833113E-2,-7.808122039E-2,6.320953369E-2
8.442555240E-1,-1.444578171E-3,-8.848917484E-2,6.705665588E-2
8.544178770E-1,-1.758545637E-3,-6.694176793E-2,5.669689178E-2
8.645802310E-1,9.785890579E-4,-2.739435434E-2,5.367469788E-2
8.747425840E-1,-1.315385103E-3,1.952439547E-3,7.198429108E-2
8.849049380E-1,2.179080248E-2,2.161702514E-2,8.519935608E-2
8.950672910E-1,1.781454682E-2,2.705937624E-2,8.161735535E-2
9.052296450E-1,-3.280460835E-3,2.797374129E-2,8.750629425E-2
9.153919980E-1,-1.244315505E-2,1.002192497E-2,9.328079224E-2
9.255543520E-1,-7.097363472E-3,-1.013424993E-2,6.099987030E-2
9.357167050E-1,3.172704577E-2,2.986192703E-3,-4.368114471E-2
9.458790590E-1,2.902513742E-2,2.812007070E-2,5.656528473E-2
9.560414130E-1,-5.307376385E-3,5.547764897E-2,7.206535339E-2
9.662037660E-1,-3.060954809E-2,5.234727263E-2,-4.023456573E-2
9.763661200E-1,-2.792477608E-3,5.997198820E-2,-7.003879547E-2
9.865284730E-1,2.916109562E-2,7.084918022E-2,-2.389812469E-2
9.966908270E-1,4.661229253E-2,9.348130226E-2,1.914882660E-2
1.006853180E0,3.076088428E-2,6.789425015E-2,4.252052307E-2
1.017046051E0,-2.481564879E-2,4.696339369E-2,2.060413361E-2
1.027208405E0,-4.629731178E-2,2.156937122E-2,-3.216743469E-3
1.037370758E0,-2.994453907E-2,2.988168597E-2,4.900646210E-2
1.047533112E0,-7.628291845E-3,4.538100958E-2,1.120271683E-1
1.057695465E0,1.652392745E-2,6.978097558E-2,1.078433990E-1
1.067857819E0,4.472708702E-2,7.715579867E-2,7.772731781E-2
1.078020172E0,3.200620413E-2,7.492464781E-2,6.939792633E-2
1.088182526E0,9.830802679E-3,5.627155304E-2,8.484363556E-2
1.098344879E0,1.408120990E-2,2.573105693E-2,1.094923019E-1
1.108507233E0,1.371574402E-2,1.162543893E-2,1.124048233E-1
1.118669586E0,4.621386528E-3,-1.023450494E-2,7.287025452E-2
1.128831940E0,-1.068261266E-2,-1.324763894E-2,2.218723297E-2
1.138994293E0,-1.377150416E-2,-1.136210561E-2,5.529403687E-3
1.149156647E0,-3.110468388E-3,3.142356873E-4,3.401756287E-2
1.159319000E0,-4.821330309E-3,2.379059792E-2,6.902408600E-2
1.169481354E0,-6.513148546E-3,2.783599496E-2,5.147171021E-2
1.179643707E0,-1.998084784E-2,3.179422021E-2,8.234024048E-3
1.189806061E0,-9.737819433E-3,4.771694541E-2,-8.296966553E-3
1.199968414E0,-4.712730646E-3,3.572970629E-2,6.184577942E-3
1.210130768E0,2.456158400E-3,2.654030919E-2,3.685474396E-2
1.220293121E0,1.666527987E-2,2.455988526E-2,4.097652435E-2
1.230455475E0,1.000592113E-2,1.529249549E-2,-9.226799011E-3
1.240617829E0,-5.493938923E-3,1.340395212E-2,-7.744884491E-2
1.250780182E0,-1.354593039E-2,1.665791869E-2,-6.414604187E-2
1.260942536E0,4.160135984E-3,2.987739444E-2,2.687549591E-2
1.271135407E0,1.412114501E-2,2.847933769E-2,1.186733246E-1
1.281297760E0,1.694023609E-2,4.510733485E-2,1.284837723E-1
1.291460114E0,3.890633583E-3,7.503855228E-2,2.717494965E-2
1.301622467E0,-1.557081938E-3,7.860979438E-2,-1.783752441E-2
1.311784821E0,-1.719325781E-2,8.286136389E-2,3.839492798E-3
1.321947174E0,-4.532212019E-2,7.115161419E-2,2.506828308E-2
1.332109528E0,-7.037565112E-2,7.485038042E-2,-1.741628647E-1
1.342271881E0,-3.397452831E-2,5.237367749E-2,-2.679176331E-1
1.352434235E0,7.449936867E-2,2.078667283E-2,1.508474350E-1
1.362596588E0,1.065053940E-1,-5.108088255E-3,6.627626419E-1
1.372758942E0,1.602102816E-1,-5.025863647E-4,3.724327087E-1
1.382921295E0,8.329075575E-2,1.962810755E-2,-2.589893341E-2
1.393083649E0,-7.431492209E-2,5.272424221E-2,-4.081001282E-1
1.403246002E0,-1.364829838E-1,4.372823238E-2,-3.655328751E-1
1.413408356E0,-9.297162294E-2,4.203766584E-3,-3.353977203E-2
1.423570709E0,1.704192162E-2,-4.715123773E-2,2.691192627E-1
1.433733063E0,9.360283613E-2,-7.231989503E-2,3.613243103E-1
1.443895416E0,8.515703678E-2,-4.416269064E-2,1.554031372E-1
1.454057770E0,-9.240210056E-4,1.271718740E-2,-1.046028137E-1
1.464220123E0,-8.388808370E-2,8.628013730E-2,-1.915206909E-1
1.474382477E0,-1.047055125E-1,1.663185954E-1,-1.067581177E-1
1.484544830E0,-7.963079214E-2,1.991014779E-1,4.855060577E-2
1.494707184E0,-1.704663038E-2,1.824398339E-1,1.407375336E-1
1.504869538E0,2.913132310E-2,1.314624250E-1,1.228656769E-1
1.515062409E0,2.615833282E-2,7.940846682E-2,5.285739899E-2
1.525194245E0,-2.090901136E-3,5.249768496E-3,-1.178073883E-2
1.535387116E0,-5.718588829E-3,-2.814403176E-2,-1.880073547E-2
1.545549469E0,-1.137018204E-2,-3.501924872E-2,-4.300117493E-3
1.555711823E0,1.634487510E-2,-3.455585241E-2,4.103755951E-2
1.565874176E0,2.210977674E-2,4.100650549E-3,7.652282715E-2
1.576036530E0,2.750447392E-2,2.104237676E-2,8.080482483E-2
1.586198883E0,3.836005926E-3,3.302669525E-2,8.744239807E-2
1.596361237E0,-1.539325714E-2,2.817592025E-2,1.035346985E-1
1.606523590E0,-1.589938998E-2,1.115784049E-2,1.195249557E-1
1.616685944E0,2.710968256E-3,1.259818673E-2,1.008996964E-1
1.626848297E0,2.645453811E-2,-5.484610796E-3,-4.263877869E-2
1.637010651E0,3.556206822E-2,1.941755414E-2,4.118251801E-2
1.647173004E0,7.176697254E-4,3.902649879E-2,1.538162231E-1
1.657335358E0,-1.833072305E-2,5.803877115E-2,3.999519348E-2
1.667497711E0,-7.924437523E-5,5.587938428E-2,-1.401214600E-1
1.677660065E0,2.002692223E-2,6.704407930E-2,-9.496212006E-2
1.687822418E0,2.448424697E-2,6.475365162E-2,2.944183350E-2
1.697984772E0,2.221831679E-2,6.454393268E-2,2.641868591E-2
1.708147125E0,-2.757459879E-3,5.656325817E-2,-3.775787354E-2
1.718309479E0,-2.302622795E-2,5.326777697E-2,-2.751922607E-2
1.728471832E0,-2.002787590E-2,6.918537617E-2,3.606796265E-3
1.738634186E0,-1.011845469E-2,7.584464550E-2,5.850791931E-3
1.748796539E0,-2.955138683E-3,8.984827995E-2,1.994991302E-2
1.758958893E0,8.099198341E-3,8.734878898E-2,5.503559113E-2
1.769121246E0,1.860064268E-2,8.501636982E-2,8.943367004E-2
1.779283600E0,1.719453931E-2,5.869638920E-2,9.017562866E-2
1.789445954E0,1.615425944E-2,3.920036554E-2,1.004209518E-1
1.799638825E0,1.290890574E-2,3.577667475E-2,9.872722626E-2
1.809801178E0,7.717549801E-3,2.219206095E-2,5.925655365E-2
1.819963532E0,-8.785516024E-3,1.803839207E-2,-7.333755493E-4
1.830125885E0,-2.474835515E-2,1.933720708E-2,-3.836345673E-2
1.840288239E0,-1.696074009E-2,2.384528518E-2,-1.401519775E-2
1.850450592E0,-7.452964783E-3,1.222875714E-2,3.579711914E-2
1.860612946E0,-7.699966431E-3,1.242488623E-2,5.162239075E-2
1.870775299E0,-1.491373777E-2,5.333572626E-3,3.420925140E-2
1.880937653E0,-1.499503851E-2,1.730629802E-2,-4.201889038E-3
1.891100006E0,-5.783945322E-3,2.512755990E-2,-2.076339722E-2
1.901262360E0,5.378097296E-3,3.578695655E-2,-3.918647766E-3
1.911424713E0,1.174211502E-2,3.463605046E-2,3.388214111E-2
1.921587067E0,2.072355151E-2,4.031112790E-2,5.916404724E-2
1.931749420E0,2.515882254E-2,3.829872608E-2,4.625511169E-2
1.941911774E0,1.343846321E-2,3.629294038E-2,-1.846313477E-3
1.952074127E0,-1.222369075E-2,3.471481800E-2,-6.331729889E-2
1.962236481E0,-3.503018618E-2,4.576003551E-2,-7.169246674E-2
1.972398834E0,-4.800504446E-2,4.792958498E-2,-4.689693451E-2
1.982561188E0,-2.541506290E-2,5.047398806E-2,2.707767487E-2
1.992723541E0,-3.520071507E-3,3.853029013E-2,9.503555298E-2
2.002885895E0,8.325159550E-3,5.198770761E-2,9.793758392E-2
2.013048248E0,8.588522673E-3,6.212973595E-2,2.289199829E-2
2.023210602E0,-5.034059286E-3,6.763094664E-2,-2.237606049E-2
2.033372955E0,-5.019605160E-3,7.148683071E-2,3.235721588E-2
2.043535309E0,-1.530113816E-2,7.081440091E-2,6.706333160E-2
2.053728180E0,-3.956401348E-2,6.783953309E-2,-7.401561737E-2
2.063890534E0,-3.811973333E-2,7.349130511E-2,-2.430162430E-1
2.074022370E0,4.874306917E-2,4.830220342E-2,-5.667877197E-2
2.084215241E0,1.008628905E-1,9.318381548E-3,5.395612717E-1
2.094347077E0,1.391585469E-1,1.126921177E-2,4.018325806E-1
2.104539948E0,1.215212941E-1,2.375862002E-2,-1.777648926E-3
2.114702301E0,-2.167940140E-2,4.608091712E-2,-3.704853058E-1
2.124864655E0,-1.221380234E-1,4.720857739E-2,-4.302816391E-1
2.135027008E0,-1.232271492E-1,6.051898003E-3,-1.232366562E-1
2.145189362E0,-3.423178196E-2,-4.130440950E-2,1.972608566E-1
2.155351715E0,5.417665839E-2,-6.859254837E-2,3.116931915E-1
2.165514069E0,6.658875942E-2,-5.824109912E-2,1.622152328E-1
2.175676422E0,1.323881745E-2,8.960455656E-3,-8.124828339E-2
2.185838776E0,-6.978288293E-2,9.648615122E-2,-1.836118698E-1
2.196001129E0,-9.762459993E-2,1.706697643E-1,-1.097974777E-1
2.206163483E0,-7.732331753E-2,2.164811790E-1,2.627849579E-2
2.216325836E0,-2.475473285E-2,1.869417429E-1,8.659744263E-2
2.226488190E0,2.271306515E-2,1.387190223E-1,6.328296661E-2
2.236650543E0,5.109718442E-2,5.735090375E-2,3.103065491E-2
2.246812897E0,4.176545143E-2,-1.901793480E-2,3.022098541E-2
2.256975250E0,2.855601907E-2,-6.250458956E-2,5.548763275E-2
2.267137604E0,7.129937410E-3,-8.366498351E-2,5.946063995E-2
2.277299957E0,5.599141121E-3,-7.040426135E-2,5.433273315E-2
2.287462311E0,6.512314081E-3,-1.969087124E-2,4.685878754E-2
2.297624664E0,1.146954298E-2,1.897591352E-2,4.419136047E-2
2.307787018E0,1.338639855E-2,3.869357705E-2,6.770801544E-2
2.317949371E0,-9.151667356E-3,3.657618165E-2,8.341407776E-2
2.328111725E0,-2.226051688E-2,2.923229337E-2,9.607601166E-2
2.338274079E0,-8.823931217E-3,-4.625022411E-3,8.958911896E-2
2.348466950E0,2.392852306E-2,8.596062660E-3,-3.978633881E-2
2.358629303E0,5.420497060E-2,2.390435338E-2,1.298904419E-3
2.368791657E0,1.879823208E-2,4.829016328E-2,1.074371338E-1
2.378954010E0,-1.295158267E-2,6.043371558E-2,2.734565735E-2
2.389116364E0,4.418164492E-3,6.103369594E-2,-1.148538589E-1
2.399278717E0,3.808018565E-2,6.502741575E-2,-1.317644119E-1
2.409441071E0,5.382767320E-2,4.818639159E-2,-2.094078064E-2
2.419603424E0,2.650737762E-2,4.289624095E-2,3.120613098E-2
2.429765778E0,-9.036630392E-3,2.464935184E-2,-1.435089111E-2
2.439928131E0,-3.653627634E-2,3.211393952E-2,-4.952907562E-2
2.450090485E0,-3.110173345E-2,5.375286937E-2,-6.087303162E-3
2.460252838E0,-2.154713869E-2,8.736726642E-2,1.755714417E-2
2.470415192E0,-1.465851068E-2,1.091947258E-1,1.956462860E-2
2.480577545E0,1.506942511E-2,1.051523983E-1,4.989624023E-2
2.490739899E0,2.925413847E-2,8.969196677E-2,7.250499725E-2
2.500902252E0,3.128591180E-2,6.268620491E-2,9.003925323E-2
2.511064606E0,1.949691772E-2,3.093102574E-2,7.886886597E-2
2.521226959E0,2.033412457E-2,1.546433568E-2,5.853748322E-2
2.531419830E0,3.501772881E-4,-2.862662077E-3,1.729011536E-2
2.541582184E0,-7.927417755E-5,1.228737831E-2,-2.089118958E-2
2.551714020E0,-1.233333349E-2,1.370877028E-2,-3.240203857E-2
2.561906891E0,-1.287311316E-2,2.072858810E-2,-1.255989075E-3
2.572069245E0,-6.452888250E-3,1.581391692E-2,4.358482361E-2
2.582231598E0,-1.197183132E-2,5.878865719E-3,4.742050171E-2
2.592363434E0,-5.361288786E-3,1.226443052E-2,1.104068756E-2
2.602556305E0,-1.079538465E-2,1.389160752E-2,-1.994132996E-2
2.612718659E0,-2.376568317E-2,1.108691096E-2,-3.386116028E-2
2.622881012E0,-8.467018604E-3,2.084898949E-2,-5.099296570E-3
2.633043366E0,6.561607122E-3,1.879119873E-2,1.138210297E-2
2.643205719E0,1.691454649E-2,2.374207973E-2,6.279945374E-3
2.653368073E0,1.804125309E-2,1.665934920E-2,-4.597377777E-2
2.663530426E0,2.998113632E-3,2.403038740E-2,-9.725284576E-2
2.673692780E0,-1.622983813E-2,2.486142516E-2,-6.961727142E-2
2.683855133E0,-3.027310967E-2,2.119711041E-2,9.497642517E-3
2.694017487E0,-6.362646818E-3,3.141286969E-2,8.952903748E-2
2.704179840E0,5.287826061E-4,3.793033957E-2,1.115150452E-1
2.714342194E0,-3.829658031E-3,5.527907610E-2,2.447414398E-2
2.724504547E0,-7.848441601E-3,6.991088390E-2,-3.016281128E-2
2.734666901E0,-8.004963398E-3,7.807192206E-2,2.943897247E-2
2.744829254E0,-2.335786819E-2,9.565332532E-2,7.841682434E-2
2.754991608E0,-5.021324754E-2,8.193570375E-2,4.850292206E-2
2.765153961E0,-6.162208319E-2,7.584363222E-2,-1.629390717E-1
2.775316315E0,-6.147027016E-4,7.197329402E-2,-2.664117813E-1
