"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
4.930819400E-2,-4.259467125E-3,2.241270244E-2,-4.033946991E-2
5.940951200E-2,-1.333415508E-2,1.010122895E-2,-2.882957458E-2
6.954134800E-2,-1.266551018E-2,9.851545095E-3,-3.507709503E-2
7.970370200E-2,-1.837348938E-2,1.047389209E-2,-4.590129852E-2
8.983553800E-2,-6.605744362E-3,1.990032196E-2,-6.900596619E-2
9.999789100E-2,8.309066296E-3,2.014096081E-2,-7.556915283E-2
1.101297270E-1,6.138443947E-3,1.183617115E-2,-7.571983337E-2
1.202920810E-1,-6.480097771E-3,9.156703949E-3,-7.882690430E-2
1.304544340E-1,2.169966698E-3,6.391361356E-3,-6.478881836E-2
1.406167880E-1,-1.014918089E-2,8.342653513E-3,-3.671836853E-2
1.507791410E-1,-1.729685068E-2,1.091405749E-3,7.185935974E-3
1.609414950E-1,-4.092037678E-3,7.499247789E-3,7.017230988E-2
1.711038480E-1,-3.359079361E-3,1.507492363E-2,5.160045624E-2
1.812662020E-1,-1.202017069E-2,2.368719876E-2,-2.022075653E-2
1.914285550E-1,-1.771539450E-2,3.170378506E-2,-6.449985504E-2
2.015909090E-1,-3.254514933E-2,2.166202664E-2,-3.078365326E-2
2.117532620E-1,-4.041945934E-2,7.822066545E-3,3.030300140E-2
2.219156160E-1,-4.601627588E-2,-3.599151969E-3,-3.870773315E-2
2.320779690E-1,-3.110319376E-2,-4.780873656E-3,-2.956027985E-1
2.422403230E-1,2.113384008E-2,-1.967030764E-2,-3.266153336E-1
2.524026760E-1,1.092975736E-1,-2.932707965E-2,1.011142731E-1
2.625650300E-1,1.443918347E-1,-1.144316792E-2,3.270568848E-1
2.727273830E-1,5.758768320E-2,-1.573684812E-2,1.348342896E-1
2.828897370E-1,-5.373269320E-2,-3.668843210E-2,1.819324493E-2
2.930520900E-1,-9.218162298E-2,-4.932247102E-2,-9.445762634E-2
3.032144440E-1,-8.188921213E-2,-5.401477218E-2,-1.911745071E-1
3.133767980E-1,-4.037940502E-2,-4.953549802E-2,-1.795215607E-1
3.235391510E-1,1.365160942E-2,-4.380576313E-2,-2.813339233E-3
3.337015050E-1,6.562185287E-2,-8.093684912E-3,2.120714188E-1
3.438638580E-1,6.268209219E-2,4.043456167E-2,2.472381592E-1
3.540262120E-1,2.097320557E-2,7.546889782E-2,1.297731400E-1
3.641885650E-1,-3.109723330E-2,1.058980227E-1,-1.198768616E-2
3.743509190E-1,-5.410212278E-2,1.266112477E-1,-7.463073730E-2
3.845132720E-1,-5.431979895E-2,1.022101715E-1,-8.191108704E-2
3.946756260E-1,-1.652801037E-2,7.449036837E-2,-6.095600128E-2
4.048379790E-1,1.878845692E-2,2.655002475E-2,-1.253414154E-2
4.150003330E-1,4.776597023E-2,1.397479326E-2,4.624748230E-2
4.251626860E-1,6.216102839E-2,-5.651429296E-3,9.893417358E-2
4.353250400E-1,5.614286661E-2,-3.076098859E-3,1.362915039E-1
4.454873930E-1,3.294682503E-2,-7.812209427E-3,1.187572479E-1
4.556497470E-1,1.408433914E-2,-1.249356568E-2,7.836246490E-2
4.658121000E-1,1.036584377E-3,-1.118389517E-2,3.902626038E-2
4.759744540E-1,-9.436309338E-3,-1.710247993E-2,2.933502197E-3
4.861368070E-1,-2.488607168E-2,-2.459208667E-2,-2.533817291E-2
4.962991610E-1,-3.822267056E-2,-3.330266476E-2,-8.193016052E-3
5.064615140E-1,-4.270386696E-2,-2.896819264E-2,1.068878174E-2
5.165815050E-1,-1.644897461E-2,-2.651822567E-2,2.696418762E-2
5.267438580E-1,-2.447426319E-3,-1.254874468E-2,6.401157379E-2
5.369062120E-1,1.850283146E-2,1.230471581E-2,1.310825348E-2
5.470685650E-1,1.760709286E-2,3.805595636E-2,1.215543747E-1
5.572309190E-1,1.873970032E-3,5.259159952E-2,1.707448959E-1
5.673932720E-1,-2.490520477E-3,4.046924412E-2,-7.272720337E-3
5.775556260E-1,7.213175297E-3,1.291386224E-2,-1.791524887E-1
5.877179790E-1,4.286205769E-2,4.512263462E-3,-2.038927078E-1
5.978803330E-1,5.566179752E-2,2.701335959E-2,-1.126480103E-1
6.080426860E-1,4.156327248E-2,2.956065908E-2,-2.560901642E-2
6.182050400E-1,1.800656319E-2,3.049353324E-2,4.585838318E-2
6.283673930E-1,-1.724410057E-2,2.396524511E-2,1.113138199E-1
6.385297470E-1,-5.405396223E-2,2.575318702E-2,1.355295181E-1
6.486921010E-1,-6.592655182E-2,3.327488154E-2,1.286058426E-1
6.588544540E-1,-5.618035793E-2,5.605097115E-2,9.346008301E-2
6.690168080E-1,-2.331501245E-2,7.820869982E-2,5.414295197E-2
6.791791610E-1,1.547074318E-2,8.856053650E-2,2.731132507E-2
6.893415150E-1,3.876519203E-2,7.106813043E-2,2.693462372E-2
6.995038680E-1,5.143994093E-2,3.797940910E-2,6.663036346E-2
7.096662220E-1,3.727680445E-2,3.875008598E-2,9.138679504E-2
7.198285750E-1,2.141559124E-2,2.478247136E-2,7.548904419E-2
7.299909290E-1,4.370033741E-3,1.985621080E-2,4.110050201E-2
7.401532820E-1,-9.713947773E-3,5.040815100E-3,1.921081543E-2
7.503156360E-1,-2.018690109E-3,6.815629080E-3,9.442329407E-3
