"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
5.996297100E-2,-2.341379821E-1,7.215312123E-2,-9.274606705E-1
7.009480700E-2,-1.224469244E-1,4.159161448E-2,-4.113340378E-1
8.022664300E-2,2.054154873E-2,-2.835217118E-2,9.545993805E-2
9.035847900E-2,2.082309127E-2,-6.264799833E-2,1.482830048E-1
1.005208320E-1,-2.443897724E-2,-5.230104923E-2,-4.030418396E-2
1.106831860E-1,-6.544402242E-2,4.970818758E-3,-1.876792908E-1
1.208150220E-1,-8.337146044E-2,8.019477129E-2,-1.935768127E-1
1.309773750E-1,-8.266869187E-2,1.161409914E-1,-1.307554245E-1
1.411397290E-1,-5.117169023E-2,1.058043540E-1,-7.943820953E-2
1.513020820E-1,-2.312448621E-2,8.162897825E-2,-8.410263062E-2
1.614644360E-1,-1.559895277E-2,3.709742427E-2,-9.137821198E-2
1.716267890E-1,-1.787576079E-2,-1.989111304E-2,-1.079711914E-1
1.817891430E-1,-2.213796973E-2,-5.326846242E-2,-1.147041321E-1
1.919514970E-1,-1.460546255E-2,-6.212010980E-2,-1.171522141E-1
2.021138500E-1,-1.161190867E-2,-6.426516175E-2,-1.171903610E-1
2.122762040E-1,2.593594790E-2,-4.334044456E-2,-7.616901398E-2
2.224385570E-1,4.095238447E-2,-1.195386052E-2,-4.235076904E-2
2.326009110E-1,4.139691591E-2,1.579645276E-2,-2.637863159E-2
2.427632640E-1,2.740713954E-2,3.756740689E-2,-1.584625244E-2
2.529561350E-1,1.624163985E-2,3.305074573E-2,-2.914142609E-2
2.631184890E-1,-2.226164937E-2,1.508259773E-2,-3.715419769E-2
2.732808420E-1,-2.642822266E-2,-1.137489080E-2,-2.384376526E-2
2.834431960E-1,-1.642629504E-2,-2.063578367E-2,-7.203674316E-2
2.936055490E-1,-1.885578036E-2,-2.228915691E-2,-9.849166870E-2
3.037679030E-1,-2.604264021E-2,1.071986556E-2,1.049995422E-1
3.139302560E-1,-6.015118957E-2,2.057561278E-2,9.920120239E-3
3.240926100E-1,-4.610353708E-2,3.264737129E-2,-2.050619125E-1
3.342549630E-1,1.670476794E-2,2.319148183E-2,-2.279272079E-1
3.444173170E-1,3.511631489E-2,1.601007581E-2,-2.161693573E-2
3.545796700E-1,-1.003786922E-2,1.305511594E-2,3.005409241E-2
3.647420240E-1,-2.150562406E-2,-5.311340094E-3,-7.133769989E-2
3.749043770E-1,4.739820957E-3,1.172339916E-2,-5.951404572E-2
3.850667310E-1,9.028971195E-3,2.626594901E-2,2.431678772E-2
3.952290840E-1,8.644729853E-3,4.964932799E-2,7.527828217E-2
4.053914380E-1,3.526359797E-3,6.260919571E-2,6.384468079E-2
4.155537910E-1,5.425721407E-3,5.160102248E-2,3.174686432E-2
4.257161450E-1,1.905798912E-2,5.306735635E-2,9.942054749E-3
4.359090160E-1,3.713899851E-2,3.384864330E-2,3.822898865E-2
4.460713700E-1,3.813934326E-2,1.469999552E-2,1.008062363E-1
4.562337230E-1,2.036246657E-2,-7.307499647E-3,4.422187805E-2
4.663960770E-1,-6.273925304E-3,1.286536455E-3,-7.898426056E-2
4.765584300E-1,-2.024754882E-2,-1.624286175E-3,-9.804344177E-2
4.867207840E-1,-1.738905907E-2,-1.526999474E-2,-2.979946136E-2
4.968831370E-1,-1.467981935E-2,-1.210290194E-2,1.337242126E-2
5.070454910E-1,-2.868065238E-2,-2.109202743E-2,6.058692932E-3
5.172078440E-1,-5.428713560E-2,-1.333749294E-2,-4.341602325E-2
5.273701980E-1,-5.335628986E-2,2.064704895E-3,-6.123161316E-2
5.375325510E-1,-4.290881753E-2,1.326626539E-2,-4.321193695E-2
5.476949050E-1,-3.016224504E-2,3.385376930E-2,-4.458427429E-3
5.578572580E-1,-1.280435920E-2,2.566587925E-2,5.266189575E-3
5.680196120E-1,-2.843350172E-3,1.958379149E-2,1.959705353E-2
5.782124830E-1,-1.422095299E-2,1.608416438E-2,3.368663788E-2
5.883748360E-1,-1.585432887E-2,1.965504885E-2,5.451297760E-2
5.985371900E-1,-1.957315207E-2,3.485679626E-2,7.261943817E-2
6.086995430E-1,-6.515949965E-3,2.822041512E-2,3.132820129E-2
6.188618970E-1,-7.784813643E-3,5.027344823E-2,-3.283691406E-2
6.290242500E-1,-1.123592257E-2,3.019386530E-2,-7.456779480E-2
6.391866040E-1,-1.921653748E-2,1.113915443E-2,-9.661865234E-2
6.493489570E-1,-2.918738127E-2,-2.304673195E-3,-7.089996338E-2
6.595113110E-1,-1.062285900E-2,-1.793432236E-2,3.482437134E-2
6.696736640E-1,3.298509121E-2,-1.289665699E-2,1.668052673E-1
6.798360180E-1,1.643678546E-2,1.151281595E-2,1.024799347E-1
6.899983720E-1,-1.419728994E-2,4.210537672E-2,1.358222961E-2
7.001912430E-1,-9.240210056E-3,5.653631687E-2,7.745456696E-2
7.103535960E-1,-5.012217164E-2,7.343500853E-2,8.802700043E-2
7.205159500E-1,-1.139025390E-1,6.893450022E-2,-6.013107300E-2
7.306783030E-1,-1.485282779E-1,7.780182362E-2,-4.275445938E-1
7.408406570E-1,1.860389113E-2,3.570073843E-2,-3.126440048E-1
7.510030100E-1,2.279656827E-1,-4.959803820E-2,5.754766464E-1
7.611653640E-1,1.558980644E-1,-7.822233438E-2,4.130573273E-1
7.713277170E-1,2.267873287E-2,-5.401766300E-2,-1.845769882E-1
7.814900710E-1,-6.206172705E-2,-2.055644989E-2,-4.034252167E-1
7.916524240E-1,-8.531621099E-2,-4.379808903E-3,-1.714067459E-1
8.018147780E-1,-1.895231009E-2,-1.196837425E-2,1.248168945E-1
8.119771310E-1,3.175434470E-2,-6.780982018E-3,2.030057907E-1
8.221394850E-1,2.687633038E-3,2.295452356E-2,1.191749573E-1
8.323018380E-1,-5.183157325E-2,7.164829969E-2,1.562500000E-2
8.424641920E-1,-9.899404645E-2,1.369459033E-1,-1.502323151E-2
8.526265450E-1,-1.179545522E-1,1.697446108E-1,-2.183914185E-4
8.628194160E-1,-9.189689159E-2,1.564604640E-1,2.877807617E-2
8.729817700E-1,-6.418457627E-2,1.156578064E-1,4.799842834E-2
8.831441230E-1,-1.350244880E-2,5.889183283E-2,7.166194916E-2
8.933064770E-1,3.619366884E-2,-4.908025265E-3,6.417942047E-2
9.034688310E-1,5.632558465E-2,-3.344398737E-2,3.536796570E-2
9.136311840E-1,5.190107226E-2,-4.173344374E-2,3.052330017E-2
